HOMO,LUMO,Gap Energy,Dipole Moment,Ionization Potential,Electron Affinity,Electronegativity,Global Hardness,Global Softness,Electrophilicity,Fraction of electron transferred,IE (%)
-6.361,-1.628,4.733,10.01,6.361,1.628,3.995,2.367,0.423,3.371361428,0.635,95.1
-6.07,-1.638,4.432,11.568,6.07,1.638,3.854,2.216,0.451,3.351379964,0.71,96.68
-7.184,-3.4,3.784,1.742,7.184,3.4,5.292,1.892,0.529,7.400968288,0.451,93.17
-6.601,-2.45,4.151,5.292,6.601,2.45,4.525,2.075,0.482,4.933885542,0.596,94.89
-6.307,-2.33,3.977,5.657,6.307,2.33,4.319,1.988,0.503,4.691589789,0.674,95.29
-6.152,-2.243,3.908,7.056,6.152,2.243,4.197,1.954,0.512,4.507371801,0.717,95.97
-6.508,-2.098,4.41,6.608,6.508,2.098,4.303,2.205,0.454,4.198596145,0.612,94.37
-6.51,-2.054,4.456,9.286,6.51,2.054,4.282,2.228,0.449,4.114794434,0.61,94.58
-6.431,-1.989,4.443,10.277,6.431,1.989,4.21,2.221,0.45,3.990117064,0.628,96.39
-6.881,-3.132,3.749,3.945,6.881,3.132,5.006,1.875,0.533,6.682676267,0.532,95
-6.93,-2.801,4.13,7.62,6.93,2.801,4.866,2.065,0.484,5.733161259,0.517,92.7
-6.577,-1.791,4.786,3.928,6.577,1.791,4.184,2.393,0.418,3.657721688,0.588,98.5
-7.127,5.849,12.976,2.971,7.127,-5.849,0.639,6.488,0.154,0.03146740136,0.49,81.04
-7.241,6.294,13.536,0.847,7.241,-6.294,0.473,6.768,0.148,0.01652844267,0.482,93.12
-7.13,6.136,13.266,1.996,7.13,-6.136,0.497,6.633,0.151,0.01861970451,0.49,85.43
-6.325,-2.003,4.322,2.58,6.325,2.003,4.164,2.161,0.463,4.01177603,0.656,97.2
-6.559,-2.071,4.488,1.261,6.559,2.071,4.315,2.244,0.446,4.148668672,0.598,96.04
-6.313,-1.538,4.775,2.972,6.313,1.538,3.926,2.387,0.419,3.228629242,0.644,94.49
-6.827,-1.612,5.215,1.556,6.827,1.612,4.22,2.607,0.384,3.41549674,0.533,89.9
-6.817,-2.778,4.039,6.279,6.817,2.778,4.797,2.02,0.495,5.695843812,0.545,90.52
-6.782,-2.885,3.898,7.284,6.782,2.885,4.834,1.949,0.513,5.994755259,0.556,95.02
-6.669,-2.611,4.058,8.051,6.669,2.611,4.64,2.029,0.493,5.305470675,0.582,96.18
-6.132,-2.4,3.733,10.202,6.132,2.4,4.266,1.866,0.536,4.87640836,0.732,98.45
-6.212,-1.918,4.294,4.534,6.212,1.918,4.065,2.147,0.466,3.848212622,0.684,96
-7.133,5.399,12.532,5.784,7.133,-5.399,0.867,6.266,0.16,0.05998156719,0.489,84
-7.013,5.474,12.486,5.376,7.013,-5.474,0.769,6.243,0.16,0.04736192536,0.499,93
-6.743,-1.864,4.879,4.588,6.743,1.864,4.303,2.44,0.41,3.794223156,0.553,78.3
-7.134,-2.931,4.203,8.711,7.134,2.931,5.033,2.102,0.476,6.025473121,0.468,68.6
-6.195,-1.798,4.396,5.545,6.195,1.798,3.996,2.198,0.455,3.632396724,0.683,94.8
-6.602,-1.821,4.781,4.382,6.602,1.821,4.211,2.39,0.418,3.709732427,0.583,83.1
-6.743,-3.317,3.426,5.872,6.743,3.317,5.03,1.713,0.584,7.384967893,0.575,94.29
-6.866,-3.08,3.786,5.932,6.866,3.08,4.973,1.893,0.528,6.532152404,0.535,91.91
-7.275,-3.194,4.081,4.162,7.275,3.194,5.235,2.04,0.49,6.716966912,0.433,90.72
-7.945,-3.998,3.947,2.214,7.945,3.998,5.971,1.973,0.507,9.035185251,0.261,89.37
-5.703,-1.786,3.917,5.0871,5.703,1.786,3.745,1.959,0.511,3.579638846,0.831,86.1
-5.663,-1.711,3.953,4.72,5.663,1.711,3.687,1.976,0.506,3.439769484,0.838,89.4
-5.702,-1.749,3.952,4.348,5.702,1.749,3.726,1.976,0.506,3.512924089,0.828,92.18
-5.716,-1.759,3.957,3.457,5.716,1.759,3.737,1.978,0.505,3.53012361,0.825,93.65
-6.71,-1.38,5.33,0.01,-4.05,1.38,4.05,2.66,0.18,3.07,0.15,22.63
-6.22,-1.46,4.73,2.02,-3.86,1.46,3.86,2.36,0.21,3.14,0.2,32.22
-7.2,-2.09,5.11,2.78,-4.65,2.09,4.65,2.55,0.19,4.22,0.03,48.08 
-7.04,-1.58,5.46,2.07,-4.31,1.58,4.31,2.73,0.18,3.4,0.09,42.11
-6.9,-1.86,5.04,5.23,-4.38,1.86,4.38,2.52,0.19,2.81,0.08,64.72 
-7.01,-2.09,4.92,2.54,-4.55,2.09,4.55,2.46,0.20,4.21,0.05,55.24
-6.1,-1.45,4.65,1.86,-3.78,1.45,3.78,2.32,0.22,3.06,0.22,43.62 
-6.49,-1.2,5.29,1.81,-3.85,1.2,3.85,2.64,0.19,2.79,0.18,24.35
-6.253,-1.808,4.445,6.203,6.253,1.808,4.031,2.222,0.45,3.656,0.668,82.42
-7.38,-2.46,4.92,7.05,7.38,2.46,4.92,2.46,0.39,4.92,0.422,95.84
-7.09,-2.22,4.87,6.23,7.09,2.22,4.66,2.44,0.409,4.449,0.479,85.2
-5.92,-1.82,4.1,6.88,5.92,1.82,3.87,2.05,0.487,3.652,0.763,95.67
-5.927,-1.831,4.096,6.849,5.927,1.831,3.879,2.048,0.488,3.673496338,0.762,95.67
-7.088,-2.271,4.817,6.317,7.088,2.271,4.679,2.409,0.415,4.545,0.481,69.05
-5.691,-1.967,3.724,5.733,5.691,1.967,3.829,1.862,0.537,3.936,0.851,83.04
-6.568,-2.041,4.526,2.86,6.568,2.041,4.305,2.263,0.442,4.094791206,0.595,76.98
-7.19,-2.55,5.36,2.87,7.19,2.55,4.87,2.68,0.373,4.424,0.397,72.64
-6.558,-1.742,4.816,6.438,6.558,1.742,4.15,2.408,0.415,3.576,0.592,87
-6.068,-2.095,3.973,6.55,6.558,2.095,4.326,2.231,0.448,4.194,0.599,93
